# sorry - this is read as a formatted read . if you do not like that, change the code
# station   X(m)          Y(m)              Z(m)       X/yr       Y/yr        Z/yr     epoch
sow1     -302492.998    -1622700.432    -6140229.498  -3607.539  -1484.025    570.453  2012 01 01
sow2     -303099.346    -1623905.900    -6139880.011  -3586.514  -1495.694    573.429  2012 01 01
sow3     -304459.677    -1623322.768    -6139965.091  -3597.352  -1519.630    584.179  2012 01 01
sow4     -304835.865    -1622331.022    -6140213.467  -3615.469  -1526.236    585.266  2012 01 01
boar     -303469.639    -1623048.893    -6140089.248  -3606.703  -1501.104    576.416  2012 01 01
sow5     -303099.346    -1623905.900    -6139880.011  -3586.514  -1495.694    573.429  2012 01 01
wais     -439312.569    -1084377.742    -6250681.556     -1.183      2.667      0.156  2012 01 01
wai2     -439298.478    -1084373.777    -6250685.201     -1.163      2.617     -0.248  2012 01 01
khlr     -782594.331    -1316569.161    -6172671.544      2.206    -12.311      2.283  2012 01 01
uthw     -449070.313    -1301256.447    -6208272.707     -5.258   -115.323     23.289  2012 01 01
lthw     -457706.405    -1427511.734    -6179711.824    -40.368   -323.694     79.113  2012 01 01
mizu    -3857167.648     3108694.913     4004041.687      1.000      1.000      1.000  2015 07 01
LPRD     1187240.564    -2320416.226    -5802374.935    263.000    116.000     13.170  2010 02 14
FLSK     1196803.564    -2338485.226    -5793189.935    193.460    147.000    -12.170  2010 02 07
